adm1,year,name,value
Bauchi,2019,smc4_num,0
Bauchi,2020,smc1_num,665165
Bauchi,2020,smc2_num,712296
Bauchi,2020,smc3_num,737485
Bauchi,2020,smc4_num,751546
Bauchi,2021,smc1_num,1826508
Bauchi,2021,smc2_num,1815171
Bauchi,2021,smc3_num,1873310
Bauchi,2021,smc4_num,1854860
Bayelsa,2013,smc1_num,0
Bayelsa,2013,smc2_num,0
Bayelsa,2013,smc3_num,0
Bayelsa,2013,smc4_num,0
Bayelsa,2014,smc1_num,0
Bayelsa,2014,smc2_num,0
Bayelsa,2014,smc3_num,0
Bayelsa,2014,smc4_num,0
Bayelsa,2015,smc1_num,0
Bayelsa,2015,smc2_num,0
Bayelsa,2015,smc3_num,0
Bayelsa,2015,smc4_num,0
Bayelsa,2016,smc1_num,0
Bayelsa,2016,smc2_num,0
Bayelsa,2016,smc3_num,0
Bayelsa,2016,smc4_num,0
Bayelsa,2017,smc1_num,0
Bayelsa,2017,smc2_num,0
Bayelsa,2017,smc3_num,0
Bayelsa,2017,smc4_num,0
Bayelsa,2018,smc1_num,0
Bayelsa,2018,smc2_num,0
Bayelsa,2018,smc3_num,0
Bayelsa,2018,smc4_num,0
Bayelsa,2019,smc1_num,0
Bayelsa,2019,smc2_num,0
Bayelsa,2019,smc3_num,0
Bayelsa,2019,smc4_num,0
Benue,2013,smc1_num,0
Benue,2013,smc2_num,0
Benue,2013,smc3_num,0
Benue,2013,smc4_num,0
Benue,2014,smc1_num,0
Benue,2014,smc2_num,0
Benue,2014,smc3_num,0
Benue,2014,smc4_num,0
Benue,2015,smc1_num,0
Benue,2015,smc2_num,0
Benue,2015,smc3_num,0
Benue,2015,smc4_num,0
Benue,2016,smc1_num,0
Benue,2016,smc2_num,0
Benue,2016,smc3_num,0
Benue,2016,smc4_num,0
Benue,2017,smc1_num,0
Benue,2017,smc2_num,0
Benue,2017,smc3_num,0
Benue,2017,smc4_num,0
Benue,2018,smc1_num,0
Benue,2018,smc2_num,0
Benue,2018,smc3_num,0
Benue,2018,smc4_num,0
Benue,2019,smc1_num,0
Benue,2019,smc2_num,0
Benue,2019,smc3_num,0
Benue,2019,smc4_num,0
Borno,2013,smc1_num,0
Borno,2013,smc2_num,0
Borno,2013,smc3_num,0
Borno,2013,smc4_num,0
Borno,2014,smc1_num,0
Borno,2014,smc2_num,0
Borno,2014,smc3_num,0
Borno,2014,smc4_num,0
Borno,2015,smc1_num,0
Borno,2015,smc2_num,0
Borno,2015,smc3_num,0
Borno,2015,smc4_num,0
Borno,2016,smc1_num,0
Borno,2016,smc2_num,0
Borno,2016,smc3_num,0
Borno,2016,smc4_num,0
Borno,2017,smc1_num,888905
Borno,2017,smc2_num,1207709
Borno,2017,smc3_num,1249422
Borno,2017,smc4_num,0
Borno,2018,smc1_num,824092
Borno,2018,smc2_num,926556
Borno,2018,smc3_num,924070
Borno,2018,smc4_num,9
Borno,2019,smc1_num,0
Borno,2019,smc2_num,0
Borno,2019,smc3_num,0
Borno,2019,smc4_num,0
Borno,2020,smc1_num,2105451
Borno,2020,smc2_num,2115151
Borno,2020,smc3_num,1818356
Borno,2020,smc4_num,2114086
Borno,2021,smc1_num,2065090
Borno,2021,smc2_num,2058216
Borno,2021,smc3_num,2048783
