Name,ISO3,ID,Year,Age,Pop,PAR,incidence_rate_all_age_rmean,incidence_rate_all_age_LCI,incidence_rate_all_age_median,incidence_rate_all_age_UCI
Kaduna,NGA,10315174,2004,all_age,5963536.848,5963536.848,0.549247453,0.333509232,0.542785246,0.78541119
Kogi,NGA,10315316,2004,all_age,3237086.296,3237086.296,0.48396917,0.27941281,0.484448001,0.691253163
Imo,NGA,10315365,2004,all_age,3778257.182,3778257.182,0.496672019,0.316296247,0.493760588,0.696289691
Sokoto,NGA,10315512,2004,all_age,3588406.843,3588406.843,0.272244329,0.08821893,0.254611619,0.556380847
Enugu,NGA,10315516,2004,all_age,3261636.799,3261636.799,0.268556997,0.14913267,0.264548336,0.402893055
Niger,NGA,10315577,2004,all_age,3747572.201,3747572.201,0.544539696,0.325393066,0.534639381,0.759004404
Bauchi,NGA,10315631,2004,all_age,4714034.573,4714034.573,0.453149836,0.246691554,0.439281275,0.735858838
Jigawa,NGA,10315654,2004,all_age,4425607.336,4425607.336,0.382821916,0.168378704,0.359587461,0.724842094
Rivers,NGA,10315660,2004,all_age,5468084.506,5468084.506,0.4408909,0.2687955,0.437071204,0.656722344
Taraba,NGA,10315664,2004,all_age,2333566.784,2333566.784,0.464320074,0.281117437,0.460604057,0.684649823
Ondo,NGA,10315731,2004,all_age,2895365.535,2895365.535,0.404709022,0.222854387,0.396830233,0.616691252
Adamawa,NGA,10315851,2004,all_age,3194139.065,3194139.065,0.453181712,0.251317925,0.447226541,0.673504025
Borno,NGA,10316414,2004,all_age,4206850.966,4206850.966,0.30962761,0.10913028,0.285105066,0.565369436
Edo,NGA,10312855,2005,all_age,3310542.476,3310542.476,0.380268252,0.188880842,0.374647061,0.60679353
Kano,NGA,10312921,2005,all_age,9557482.857,9557482.857,0.392200421,0.178011308,0.374911154,0.698986385
Bayelsa,NGA,10312967,2005,all_age,1922212.213,1922212.213,0.341625651,0.157397399,0.325202621,0.602734675
Zamfara,NGA,10312979,2005,all_age,3442057.031,3442057.031,0.405101082,0.155150734,0.399631693,0.74217404
Ebonyi,NGA,10313027,2005,all_age,2237017.006,2237017.006,0.475429369,0.300784553,0.469005232,0.691879172
Ogun,NGA,10313043,2005,all_age,3838450.141,3838450.141,0.275440833,0.157250189,0.268039421,0.443835855
Federal Capital Territory,NGA,10313058,2005,all_age,1311649.778,1311649.778,0.515415713,0.331369241,0.51163511,0.706104041
Abia,NGA,10313078,2005,all_age,2891363.752,2891363.752,0.488197422,0.311449569,0.485564781,0.689722399
Osun,NGA,10313126,2005,all_age,3512308.302,3512308.302,0.43228947,0.271785755,0.430066533,0.64135975
Anambra,NGA,10313334,2005,all_age,4392815.259,4392815.259,0.449636146,0.281272443,0.440654382,0.656595816
Delta,NGA,10313483,2005,all_age,4121036.26,4121036.26,0.303964635,0.130473621,0.296826443,0.518025298
Oyo,NGA,10313522,2005,all_age,5782650.179,5782650.179,0.415343756,0.272108562,0.406683754,0.595029223
Plateau,NGA,10313750,2005,all_age,3071181.232,3071181.232,0.440594271,0.226308082,0.434145166,0.704737417
Akwa Ibom,NGA,10313817,2005,all_age,4069091.488,4069091.488,0.492834013,0.309805026,0.490267687,0.712329388
Lagos,NGA,10313859,2005,all_age,9323263.258,9323263.258,0.117315408,0.035787807,0.10965683,0.244312603
Gombe,NGA,10313923,2005,all_age,2439850.126,2439850.126,0.474650306,0.213333434,0.474660737,0.771820832
Kwara,NGA,10314245,2005,all_age,2347259.27,2347259.27,0.501856776,0.307384891,0.491536514,0.697372945
Ekiti,NGA,10314343,2005,all_age,2543174.876,2543174.876,0.474319837,0.291977222,0.472860264,0.682972599
Yobe,NGA,10314496,2005,all_age,2414443.139,2414443.139,0.36759499,0.123249721,0.343465773,0.761856126
Kebbi,NGA,10314662,2005,all_age,3373864.223,3373864.223,0.417397406,0.177574908,0.401001746,0.690758652
Cross River,NGA,10314810,2005,all_age,3054292.606,3054292.606,0.48348489,0.315280025,0.47786141,0.684372232
Nasarawa,NGA,10314878,2005,all_age,1798931.492,1798931.492,0.528310487,0.319243694,0.527331291,0.764320262
Katsina,NGA,10314910,2005,all_age,6026629.25,6026629.25,0.393766129,0.161013957,0.36962963,0.694872537
Benue,NGA,10314912,2005,all_age,4267490.572,4267490.572,0.516401304,0.307762737,0.517876862,0.744507957
Kaduna,NGA,10315174,2005,all_age,6189401.277,6189401.277,0.537792723,0.318843411,0.530917644,0.773310012
Kogi,NGA,10315316,2005,all_age,3284492.86,3284492.86,0.498985164,0.325589585,0.497964532,0.70154018
Imo,NGA,10315365,2005,all_age,4010926.147,4010926.147,0.499399633,0.318734532,0.49653726,0.698747998
Sokoto,NGA,10315512,2005,all_age,3757018.253,3757018.253,0.277641841,0.095165899,0.256904192,0.522893307
Enugu,NGA,10315516,2005,all_age,3367886.608,3367886.608,0.292931188,0.173495582,0.290831075,0.464509348
Niger,NGA,10315577,2005,all_age,3984492.947,3984492.947,0.560290659,0.356133327,0.557282049,0.773107791
Bauchi,NGA,10315631,2005,all_age,4853758.086,4853758.086,0.464144803,0.240806885,0.4480555,0.763521101
Jigawa,NGA,10315654,2005,all_age,4539492.834,4539492.834,0.388680847,0.158087786,0.359523627,0.730400677
Rivers,NGA,10315660,2005,all_age,5448238.412,5448238.412,0.438877451,0.275003667,0.435627769,0.651421007
Taraba,NGA,10315664,2005,all_age,2491800.562,2491800.562,0.48431917,0.294515004,0.480272237,0.711011255
Ondo,NGA,10315731,2005,all_age,2964979.965,2964979.965,0.409311023,0.228428339,0.403099405,0.594847446
Adamawa,NGA,10315851,2005,all_age,3261710.291,3261710.291,0.458999467,0.25790539,0.449681328,0.679628299
Borno,NGA,10316414,2005,all_age,4305496.898,4305496.898,0.31994397,0.124630486,0.2877503,0.602878128
Edo,NGA,10312855,2006,all_age,3383625.431,3383625.431,0.386201011,0.201844294,0.378384569,0.601618382
Kano,NGA,10312921,2006,all_age,9950545.025,9950545.025,0.396118876,0.180264142,0.380273703,0.698484053
Bayelsa,NGA,10312967,2006,all_age,1848321.419,1848321.419,0.315075974,0.138215697,0.29892621,0.553648057
Zamfara,NGA,10312979,2006,all_age,3504068.668,3504068.668,0.422091197,0.162951767,0.42316488,0.748016922
Ebonyi,NGA,10313027,2006,all_age,2316877.594,2316877.594,0.490114473,0.317609118,0.485190566,0.699143934
Ogun,NGA,10313043,2006,all_age,4136321.692,4136321.692,0.280017055,0.159387312,0.270831899,0.46665598
Federal Capital Territory,NGA,10313058,2006,all_age,1476475.511,1476475.511,0.501932158,0.296270558,0.499848025,0.705091941
Abia,NGA,10313078,2006,all_age,3012367.83,3012367.83,0.486625149,0.312437021,0.484117834,0.686590959
Osun,NGA,10313126,2006,all_age,3616191.473,3616191.473,0.434407531,0.265453822,0.429060463,0.643582998
Anambra,NGA,10313334,2006,all_age,4566056.746,4566056.746,0.454139598,0.277305059,0.449140784,0.665911568
Delta,NGA,10313483,2006,all_age,4200824.728,4200824.728,0.286166367,0.12653332,0.275520906,0.496776548
Oyo,NGA,10313522,2006,all_age,5901793.567,5901793.567,0.416534869,0.271019686,0.408206305,0.603211566
Plateau,NGA,10313750,2006,all_age,3384336.059,3384336.059,0.451799477,0.222926101,0.451165988,0.719299352
Akwa Ibom,NGA,10313817,2006,all_age,4062026.97,4062026.97,0.483285284,0.303104883,0.483830305,0.699809251
Lagos,NGA,10313859,2006,all_age,9306621.211,9306621.211,0.12172836,0.03508071,0.113809166,0.266850741
Gombe,NGA,10313923,2006,all_age,2506237.75,2506237.75,0.473120794,0.197122943,0.473612253,0.77451769
Kwara,NGA,10314245,2006,all_age,2410035.208,2410035.208,0.499352899,0.29904485,0.49086603,0.688588021
Ekiti,NGA,10314343,2006,all_age,2512673.334,2512673.334,0.46866307,0.281174619,0.465868305,0.669276748
Yobe,NGA,10314496,2006,all_age,2521258.594,2521258.594,0.378441331,0.128539136,0.347729863,0.775979297
Kebbi,NGA,10314662,2006,all_age,3484774.737,3484774.737,0.439486006,0.18242644,0.433875058,0.709097937
